Breville Café Roma,https://www.amazon.ca/-/fr/Breville-Caf%C3%A9-Espresso-Machine-ESP8XL/dp/B0002VAFWA/ref=sr_1_9?__mk_fr_CA=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=breville+semi+automatic+espresso+machine&qid=1588595500&sr=8-9,169.99,150
Nintendo Switch,https://www.amazon.ca/-/fr/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/dp/B07VGRJDFY/ref=sr_1_2?__mk_fr_CA=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=switch&qid=1588599505&sr=8-2,400,350
Nintendo Switch,https://www.bestbuy.ca/en-ca/product/nintendo-switch-console-with-neon-red-blue-joy-con/13817625,400,350
Logitech G29,https://www.amazon.ca/-/fr/Logitech-Driving-Force-course-compatible/dp/B00Z0UWWYC/ref=sr_1_1?__mk_fr_CA=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=MFPZL8VXSAND&keywords=logitech+g920&qid=1589222281&sprefix=logiteh%2Caps%2C169&sr=8-1,399,250
Gran Turismo Sport,https://store.playstation.com/en-ca/product/UP9000-CUSA03220_00-GTSPORTS00000000,19.99,15
